Component, Time (ms)
Task time, 1.953
Task time, 2.355
Task time, 1.869
Task time, 2.458
Task time, 2.229
Task time, 2.072
Task time, 1.583
Task time, 2.432
Task time, 2.813
Task time, 1.954
Task time, 2.638
Task time, 1.345
Task time, 1.859
Task time, 2.723
Task time, 1.365
Task time, 1.654
Task time, 1.827
Task time, 2.481
Task time, 2.082
Task time, 1.36
Task time, 1.961
Task time, 2.724
Task time, 2.027
Task time, 1.455
Task time, 1.495
Task time, 2.12
Task time, 1.455
Task time, 1.515
Task time, 2.632
Task time, 2.705
Task time, 2.679
Task time, 2.624
Task time, 3.06
Task time, 1.988
Task time, 3.042
Task time, 2.621
Task time, 1.5
Task time, 1.522
Task time, 1.572
Task time, 1.544
Task time, 1.875
Task time, 2.837
Task time, 1.509
Task time, 3.3
Task time, 3.461
Task time, 3.059
Task time, 2.89
Task time, 1.976
Task time, 1.519
Task time, 1.801
Task time, 3.234
Task time, 1.689
Task time, 2.95
Task time, 3.136
Task time, 1.63
Task time, 2.885
Task time, 2.374
Task time, 1.629
Task time, 2.302
Task time, 1.649
Task time, 2.401
Task time, 1.755
Task time, 1.696
Task time, 1.683
Task time, 3.612
Task time, 1.715
Task time, 3.388
Task time, 1.99
Task time, 2.581
Task time, 1.724
Task time, 3.096
Task time, 1.767
Task time, 3.205
Task time, 1.704
Task time, 3.15
Task time, 2.419
Task time, 2.571
Task time, 2.442
Task time, 3.595
Task time, 1.824
Task time, 2.506
Task time, 1.687
Task time, 2.265
Task time, 1.719
Task time, 2.184
Task time, 3.567
Task time, 1.863
Task time, 3.473
Task time, 3.667
Task time, 1.986
Task time, 3.696
Task time, 3.106
Task time, 3.927
Task time, 2.674
Task time, 3.681
Task time, 1.989
Task time, 2.478
Task time, 3.076
Task time, 3.051
Task time, 3.294
Task time, 1.885
Task time, 1.897
Task time, 3.142
Task time, 1.885
Task time, 1.855
Task time, 3.6
Task time, 2.152
Task time, 3.353
Task time, 1.886
Task time, 1.817
Task time, 2.138
Task time, 2.995
Task time, 1.886
Task time, 3.432
Task time, 1.818
Task time, 1.792
Task time, 3.754
Task time, 3.203
Task time, 2.02
Task time, 3.686
Task time, 3.917
Task time, 3.873
Task time, 3.369
Task time, 2.727
Task time, 3.815
Task time, 2.643
Task time, 3.489
Task time, 2.169
Task time, 2.728
Task time, 3.751
Task time, 2.06
Task time, 3.388
Task time, 2.609
Task time, 2.759
Task time, 2.099
Task time, 2.602
Task time, 3.965
Task time, 3.753
